name,cuisine,location,address,price_for_two,rating,distance_miles,has_window,view_type,features,open_hours,phone,description
Toca Madera - Los Angeles,Cocktail Bars,8450 W 3rd St Los Angeles,"8450 W 3rd St Los Angeles, CA 90048",85,3.8,2.3,True,street,window seating|street view|bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1217,Cocktail Bars restaurant in 8450 W 3rd St Los Angeles
Pine & Crane,Taiwanese,1521 Griffith Park Blvd Los Angeles,"1521 Griffith Park Blvd Los Angeles, CA 90026",55,4.3,1.7,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1163,Taiwanese restaurant in 1521 Griffith Park Blvd Los Angeles
Providence,American (New),5955 Melrose Ave Los Angeles,"5955 Melrose Ave Los Angeles, CA 90038",120,4.4,0.7,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1167,American (New) restaurant in 5955 Melrose Ave Los Angeles
La Bohème,Bars,Los Angeles,Verified by Business,85,4.4,1.0,False,none,bar,Mon-Sun 11:00-22:00,(323) 555-1110,Bars restaurant in Los Angeles
"The Butcher, The Baker, The Cappuccino Maker",American (New),8653 W Sunset Blvd West Hollywood,"8653 W Sunset Blvd West Hollywood, CA 90069",55,4.0,2.7,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1203,American (New) restaurant in 8653 W Sunset Blvd West Hollywood
Han Bat Sul Lung Tang,Korean,4163 W 5th St Los Angeles,"4163 W 5th St Los Angeles, CA 90020",55,4.4,2.5,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1073,Korean restaurant in 4163 W 5th St Los Angeles
GRANVILLE,American (New),8701 Beverly Blvd West Hollywood,"8701 Beverly Blvd West Hollywood, CA 90048",55,4.4,1.1,True,none,window seating|bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1059,American (New) restaurant in 8701 Beverly Blvd West Hollywood
JOEY DTLA,Sushi Bars,700 W 7th St Ste S430 Los Angeles,"700 W 7th St Ste S430 Los Angeles, CA 90017",50,4.2,2.2,True,street,window seating|street view|bar|wine bar,Mon-Sun 11:00-22:00,(323) 555-1091,Sushi Bars restaurant in 700 W 7th St Ste S430 Los Angeles
Mario's Peruvian & Seafood,Seafood,5786 Melrose Ave Los Angeles,"5786 Melrose Ave Los Angeles, CA 90038",55,4.0,0.8,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1131,Seafood restaurant in 5786 Melrose Ave Los Angeles
Hangari Kalguksu,Korean,3470 W 6th St Ste 9&10 Los Angeles,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",55,4.4,2.4,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1076,Korean restaurant in 3470 W 6th St Ste 9&10 Los Angeles
AOC,Cocktail Bars,8700 W 3rd St Los Angeles,"8700 W 3rd St Los Angeles, CA 90048",85,3.9,2.2,True,street,window seating|street view|bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1002,Cocktail Bars restaurant in 8700 W 3rd St Los Angeles
Met Her At A Bar,Cafes,759 S La Brea Ave Los Angeles,"759 S La Brea Ave Los Angeles, CA 90036",55,4.4,1.1,True,garden,window seating|garden view,Mon-Sun 11:00-22:00,(323) 555-1135,Cafes restaurant in 759 S La Brea Ave Los Angeles
Spago Beverly Hills,American (New),176 N Canon Dr Beverly Hills,"176 N Canon Dr Beverly Hills, CA 90210",120,4.1,2.7,True,none,window seating|bar,Mon-Sun 11:00-22:00,(323) 555-1191,American (New) restaurant in 176 N Canon Dr Beverly Hills
Jon & Vinny's Fairfax,Italian,412 N Fairfax Ave Los Angeles,"412 N Fairfax Ave Los Angeles, CA 90036",55,3.8,1.8,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1093,Italian restaurant in 412 N Fairfax Ave Los Angeles
Otium,American (New),222 S Hope St Los Angeles,"222 S Hope St Los Angeles, CA 90012",85,3.9,2.1,True,garden,window seating|garden view,Mon-Sun 11:00-22:00,(323) 555-1156,American (New) restaurant in 222 S Hope St Los Angeles
Fratelli Cafe,Coffee & Tea,7200 Melrose Ave Los Angeles,"7200 Melrose Ave Los Angeles, CA 90046",55,4.3,0.7,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1057,Coffee & Tea restaurant in 7200 Melrose Ave Los Angeles
Yup Dduk LA,Korean,3603 W 6th St Los Angeles,"3603 W 6th St Los Angeles, CA 90020",55,4.5,1.6,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1231,Korean restaurant in 3603 W 6th St Los Angeles
Stout Burgers & Beers,Burgers,1544 N Cahuenga Blvd Los Angeles,"1544 N Cahuenga Blvd Los Angeles, CA 90028",55,3.9,2.0,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1193,Burgers restaurant in 1544 N Cahuenga Blvd Los Angeles
Bacari Silverlake,Mediterranean,3626 Sunset Blvd Los Angeles,"3626 Sunset Blvd Los Angeles, CA 90026",50,4.6,2.5,False,none,bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1012,Mediterranean restaurant in 3626 Sunset Blvd Los Angeles
Bavel,Middle Eastern,500 Mateo St Los Angeles,"500 Mateo St Los Angeles, CA 90013",85,4.4,1.0,True,none,window seating,Mon-Sun 11:00-22:00,(323) 555-1019,Middle Eastern restaurant in 500 Mateo St Los Angeles
Hoy-Ka Thai Restaurant,Thai,5908 Sunset Blvd Los Angeles,"5908 Sunset Blvd Los Angeles, CA 90028",55,4.3,1.1,True,garden,window seating|garden view,Mon-Sun 11:00-22:00,(323) 555-1085,Thai restaurant in 5908 Sunset Blvd Los Angeles
Osteria La Buca,Italian,5210 Melrose Ave Los Angeles,"5210 Melrose Ave Los Angeles, CA 90038",55,4.1,3.0,False,none,bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1154,Italian restaurant in 5210 Melrose Ave Los Angeles
Musso & Frank Grill,Steakhouses,6667 Hollywood Blvd Hollywood,"6667 Hollywood Blvd Hollywood, CA 90028",85,4.2,0.3,True,none,window seating|bar,Mon-Sun 11:00-22:00,(323) 555-1145,Steakhouses restaurant in 6667 Hollywood Blvd Hollywood
Eat This Cafe,Breakfast & Brunch,6547 Santa Monica Blvd Los Angeles,"6547 Santa Monica Blvd Los Angeles, CA 90038",55,4.3,2.1,False,none,bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1045,Breakfast & Brunch restaurant in 6547 Santa Monica Blvd Los Angeles
Ruen Pair,Thai,5257 Hollywood Blvd Los Angeles,"5257 Hollywood Blvd Los Angeles, CA 90027",55,4.0,2.0,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1174,Thai restaurant in 5257 Hollywood Blvd Los Angeles
Pasta Sisters,Delis,3343 W Pico Blvd Los Angeles,"3343 W Pico Blvd Los Angeles, CA 90019",55,4.4,0.9,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1158,Delis restaurant in 3343 W Pico Blvd Los Angeles
L'Antica Pizzeria Da Michele,Pizza,1534 N Mccadden Pl Los Angeles,"1534 N Mccadden Pl Los Angeles, CA 90028",85,4.3,1.3,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1106,Pizza restaurant in 1534 N Mccadden Pl Los Angeles
Sanamluang Cafe Hollywood,Thai,5176 Hollywood Blvd Los Angeles,"5176 Hollywood Blvd Los Angeles, CA 90027",55,3.8,0.5,True,harbor,window seating|harbor view,Mon-Sun 11:00-22:00,(323) 555-1181,Thai restaurant in 5176 Hollywood Blvd Los Angeles
Osteria Mamma,Italian,5732 Melrose Ave Los Angeles,"5732 Melrose Ave Los Angeles, CA 90038",55,4.0,0.9,False,none,bar|wine bar,Mon-Sun 11:00-22:00,(323) 555-1155,Italian restaurant in 5732 Melrose Ave Los Angeles
Yuko Kitchen Miracle Mile,Japanese,5484 Wilshire Blvd Los Angeles,"5484 Wilshire Blvd Los Angeles, CA 90036",55,4.3,2.0,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1229,Japanese restaurant in 5484 Wilshire Blvd Los Angeles
The Honor Bar,Bars,122 S Beverly Dr Beverly Hills,"122 S Beverly Dr Beverly Hills, CA 90212",55,4.3,2.1,True,garden,window seating|garden view|bar,Mon-Sun 11:00-22:00,(323) 555-1207,Bars restaurant in 122 S Beverly Dr Beverly Hills
Little Sister,Vietnamese,523 W 7th St Los Angeles,"523 W 7th St Los Angeles, CA 90017",55,3.9,2.7,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1118,Vietnamese restaurant in 523 W 7th St Los Angeles
